session,user,stage,start,end,side,filename,moving_hand,held_out_user,held_out_stage,split,generalization
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerWigglingSpreading,1649400493.4833333,1649400564.6666667,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-5_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerWigglingSpreading,1649400493.4833333,1649400564.6666667,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-5_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerAbductionSeries,1649400579.8333333,1649400658.9333334,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-6_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerAbductionSeries,1649400579.8333333,1649400658.9333334,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-6_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerPinchesSingleFingerPinchesMultiple,1649400678.4666667,1649400748.0666666,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-7_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerPinchesSingleFingerPinchesMultiple,1649400678.4666667,1649400748.0666666,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-7_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerFreeform,1649400777.1166666,1649400851.8,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-8_left,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,FingerFreeform,1649400777.1166666,1649400851.8,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-8_right,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,IndividualFingerPointingSnap,1649400870.6166666,1649400948.0333333,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-9_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,IndividualFingerPointingSnap,1649400870.6166666,1649400948.0333333,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-9_right,both,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,TwoHandedFreeStyle,1649317585.5,1649317621.5333333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-1_left,both,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,TwoHandedFreeStyle,1649317585.5,1649317621.5333333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-1_right,both,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,GraspPunchCloseFar,1649318294.8666666,1649318342.7333333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-10_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318294.8666666,1649318342.7333333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-10_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318353.6166666,1649318401.0333333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-11_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,GraspPunchCloseFar,1649318353.6166666,1649318401.0333333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-11_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649318417.2666667,1649318424.5333333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-12_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318417.2666667,1649318424.5333333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-12_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649318451.9833333,1649318502.4833333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-13_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318451.9833333,1649318502.4833333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-13_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318510.4833333,1649318559.0166667,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-14_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649318510.4833333,1649318559.0166667,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-14_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318621.3166666,1649318679.2666667,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-15_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,AllFingerPinchesThumbSwipeThumbRotate,1649318621.3166666,1649318679.2666667,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-15_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318935.6166666,1649318936.5333333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-16_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,CountingUpDownFingerWigglingSpreading,1649318935.6166666,1649318936.5333333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-16_right,right,True,True,val,user_stage
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318957.4,1649318960.4333334,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-17_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,CountingUpDownFingerWigglingSpreading,1649318957.4,1649318960.4333334,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-17_right,right,True,True,val,user_stage
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649319030.5166667,1649319105.2833333,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-18_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,CountingUpDownFingerWigglingSpreading,1649319030.5166667,1649319105.2833333,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-18_right,right,True,True,val,user_stage
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649319129.75,1649319181.3,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-19_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,OneHandedFreeStyle,1649319129.75,1649319181.3,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-19_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,IndexPinchesMiddlePinchesThumbswipes,1649317662.55,1649317729.0666666,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-2_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317662.55,1649317729.0666666,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-2_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317737.0,1649317801.0666666,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-3_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,IndexPinchesMiddlePinchesThumbswipes,1649317737.0,1649317801.0666666,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-3_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,DoorknobFingerGraspFistGrab,1649317817.7166667,1649317865.5,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-4_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317817.7166667,1649317865.5,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-4_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,FastPongFronthandBackhandThrowing,1649317908.1333334,1649317956.6666667,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-5_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317908.1333334,1649317956.6666667,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-5_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317989.55,1649318038.2166667,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-6_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,FastPongFronthandBackhandThrowing,1649317989.55,1649318038.2166667,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-6_right,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,HandDeskSeparateClaspedChest,1649318057.9166667,1649318120.8,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-7_left,both,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,HandDeskSeparateClaspedChest,1649318057.9166667,1649318120.8,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-7_right,both,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,PokePinchCloseFar,1649318160.8166666,1649318209.3166666,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-8_left,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318160.8166666,1649318209.3166666,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-8_right,left,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649318220.7666667,1649318274.4666667,left,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-9_left,right,True,False,val,user
2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2,29ddab35d7,PokePinchCloseFar,1649318220.7666667,1649318274.4666667,right,2022-04-07-1649318400-a9a00-cv-emg-pose-demonstration@2-recording-9_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,TwoHandedFreeStyle,1649315609.1,1649315672.7666667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-1_left,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,TwoHandedFreeStyle,1649315609.1,1649315672.7666667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-1_right,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316397.0166667,1649316461.55,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-10_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,PokePinchCloseFar,1649316397.0166667,1649316461.55,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-10_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,GraspPunchCloseFar,1649316484.6833334,1649316547.1666667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-11_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316484.6833334,1649316547.1666667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-11_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316555.9333334,1649316621.4333334,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-12_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,GraspPunchCloseFar,1649316555.9333334,1649316621.4333334,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-12_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649316669.2666667,1649316736.0666666,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-13_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316669.2666667,1649316736.0666666,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-13_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316745.3333333,1649316769.7666667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-14_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649316745.3333333,1649316769.7666667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-14_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316864.7833333,1649316941.55,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-15_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,PokeDrawPinchRotateclosefar,1649316864.7833333,1649316941.55,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-15_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,AllFingerPinchesThumbSwipeThumbRotate,1649317041.1,1649317114.0666666,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-16_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317041.1,1649317114.0666666,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-16_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317160.6166666,1649317231.05,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-17_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,CountingUpDownFingerWigglingSpreading,1649317160.6166666,1649317231.05,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-17_right,right,True,True,val,user_stage
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649317286.2,1649317349.6166666,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-18_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,OneHandedFreeStyle,1649317286.2,1649317349.6166666,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-18_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,FingerTouchPalmClapmrburns,1649317377.3166666,1649317440.4166667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-19_left,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,FingerTouchPalmClapmrburns,1649317377.3166666,1649317440.4166667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-19_right,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,IndexPinchesMiddlePinchesThumbswipes,1649315781.55,1649315845.4166667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-2_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649315781.55,1649315845.4166667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-2_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649315856.5166667,1649315912.2833333,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-3_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,IndexPinchesMiddlePinchesThumbswipes,1649315856.5166667,1649315912.2833333,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-3_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,DoorknobFingerGraspFistGrab,1649315943.8333333,1649315999.4166667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-4_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649315943.8333333,1649315999.4166667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-4_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316009.8,1649316062.1666667,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-5_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,DoorknobFingerGraspFistGrab,1649316009.8,1649316062.1666667,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-5_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,FastPongFronthandBackhandThrowing,1649316104.25,1649316156.2,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-6_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316104.25,1649316156.2,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-6_right,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316165.0666666,1649316214.2833333,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-7_left,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,FastPongFronthandBackhandThrowing,1649316165.0666666,1649316214.2833333,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-7_right,right,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,HandDeskSeparateClaspedChest,1649316240.4,1649316303.3333333,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-8_left,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,HandDeskSeparateClaspedChest,1649316240.4,1649316303.3333333,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-8_right,both,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,PokePinchCloseFar,1649316321.0333333,1649316388.1333334,left,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-9_left,left,True,False,val,user
2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2,29ddab35d7,unconstrained,1649316321.0333333,1649316388.1333334,right,2022-04-07-1649318400-ba554-cv-emg-pose-demonstration@2-recording-9_right,left,True,False,val,user
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,ThumbsUpDownThumbRotationsCWCCWP,1649398329.3833334,1649398418.3833334,left,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-1_left,both,True,False,val,user
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,ThumbsUpDownThumbRotationsCWCCWP,1649398329.3833334,1649398418.3833334,right,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-1_right,both,True,False,val,user
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,HandClawGraspFlicks,1649399221.1166666,1649399287.2,left,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-10_left,both,True,False,val,user
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,HandClawGraspFlicks,1649399221.1166666,1649399287.2,right,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-10_right,both,True,False,val,user
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,ShakaVulcanPeace,1649399299.5,1649399371.7166667,left,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-11_left,both,True,True,val,user_stage
2022-04-07-1649318400-faa8b-cv-emg-pose-train@2,29ddab35d7,ShakaVulcanPeace,1649399299.5,1649399371.7166667,right,2022-04-07-1649318400-faa8b-cv-emg-pose-train@2-recording-11_right,both,True,True,val,user_stage
